호선,호선명,GINR,DOCK,BATCH,년BATCH,선종,선형,연번,선주,선급1,선급2,선급3,국적,시리즈 대표호선,시리즈번호,계약일자,W/C일자,K/L일자,F/T일자,L/C일자,D/L일자,도면완료일,제작블럭수,탑재블럭수,W/C실적일자,K/L실적일자,L/C실적일자,D/L실적일자,선주도면승인기간,선급도면승인기간,계약인도일,대일정계획시 주요공정체크,탑재네트워크확정REVNO,탑재네트워크확정일자,일정재생성가부,공수재생성가부,중일정공수조정가부,D/L여부,설계대표호선,설계 시리즈 번호,건조 방식(T:Tandem S:straight),"FWD일정 생성시 신종선 연속선에 따라 POR발행계획일이 MP 생성일 기준 2주, 3주(2:2주 3:3주)",mp생성일(호선의 mp등록일 중 가장 빠른 날짜을 넣어줌[2005/12/20추가됨]),,,,출항 예정일,Load Out 일자 (육상건조),,"호선 건조구분(H: HMD, V: HVS, 1:신조, 2:개조, 3:수리, 4:기술수출)","계약정보(Y:계약, N:미계약,C:취소,D:보류,O:옵션)",E/R ACCESS HOLE FT전 위치,E/R ACCESS HOLE FT후 위치,조기K/L,조기 K/L BLOCK,"HVS자재대수수료(0:1.07, 1:1)",FT전 도크내호선위치(E/W)-STRAIGHT는 여기만 값 유지,FT후 도크내호선위치(E/W),가상W/C
274906,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",Y,4,81,19-3,CT   ,50K,,CENTRAL MARE,DNVGL     ,,,MARSHALL ISLAND,274906,1 ,2018-12-05,2019-04-08,2019-08-09,,2019-11-01,2020-01-28,,,,2019-04-08,,,,,,2020-01-31,,R9,2019-06-04,,,,N,274906,01,S,,2018-12-10,0,0,0,,,,H1,Y,P,,,,,W,,2019-04-09
275006,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",N,2,107,19-5,CT   ,50K,,CENTRAL MARE,DNVGL     ,,,MARSHALL ISLAND,274906,2 ,2018-12-05,2019-04-16,2019-09-09,,2019-11-15,2020-02-13,,,,2019-04-16,,,,,,2020-02-29,,R8,2019-05-31,,,,N,274906,02,S,,2018-12-10,0,0,0,,,,H1,Y,S,,,,,W,,2019-04-16
275106,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",N,2,107,19-5,CT   ,50K,,CENTRAL MARE,DNVGL     ,,,MARSHALL ISLAND,274906,3 ,2018-12-05,2019-04-16,2019-09-09,,2019-11-15,2020-03-10,,,,2019-04-16,,,,,,2020-03-31,,R4,2019-06-10,,,,N,274906,03,S,,2019-02-11,0,0,0,,,,H1,Y,S,,,,,E,,2019-04-16
275206,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",N,1,83,19-6,CT   ,50K,,CENTRAL MARE,DNVGL     ,,,MARSHALL ISLAND,274906,4 ,2018-12-05,2019-04-25,2019-10-28,,2019-12-27,2020-03-19,,,,2019-04-25,,,,,,2020-03-31,,R5,2019-06-05,,,,N,274906,04,S,,2019-02-11,0,0,0,,,,H1,Y,S,,,,,E,,2019-04-25
275306,"50,000 DWT CLASS OIL/CHEMICAL TANKER",Y,1,83,19-6,CT   ,50K,,OCEAN SUNRISE,KR        ,ABS       ,,MARSHALL ISLAND,275306,1 ,2019-01-26,2019-06-12,2019-10-28,,2019-12-27,2020-03-16,,,,,,,,,,2020-03-31,,R4,2019-06-05,,,,N,275306,01,S,,2019-01-28,0,0,0,,,,H1,Y,P,,,,,W,,
275406,"50,000 DWT CLASS OIL/CHEMICAL TANKER",N,2,108,20-1,CT   ,50K,,OCEAN SUNRISE,KR        ,ABS       ,,MARSHALL ISLAND,275306,2 ,2019-01-27,2019-06-12,2019-11-18,,2020-01-21,2020-04-10,,,,,,,,,,2020-03-31,,R4,2019-06-05,,,,N,275306,02,S,,2019-01-28,0,0,0,,,,H1,Y,P,,,,,W,,
275506,"50,000 DWT CLASS OIL/CHEMICAL TANKER",N,3,120,20-1,CT   ,50K,,OCEAN SUNRISE,KR        ,ABS       ,,MARSHALL ISLAND,275306,3 ,2019-01-28,2019-07-10,2019-12-09,,2020-02-14,2020-05-04,,,,,,,,,,2020-04-30,,R5,2019-06-05,,,,N,275306,03,S,,2019-01-28,0,0,0,,,,H1,Y,P,,,,,W,,2019-07-10
275606,"50,000 DWT CLASS OIL/CHEMICAL TANKER",N,1,84,20-1,CT   ,50K,,OCEAN SUNRISE,KR        ,ABS       ,,MARSHALL ISLAND,275306,4 ,2019-01-29,2019-08-12,2019-12-30,,2020-03-06,2020-05-25,,,,,,,,,,2020-05-31,,R4,2019-06-05,,,,N,275306,04,S,,2019-01-28,0,0,0,,,,H1,Y,P,,,,,W,,
275706,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",Y,1,84,20-1,CT   ,50K,,MKC,ABS       ,,,PANAMA,275706,1 ,2018-12-18,2019-08-13,2019-12-30,,2020-03-06,2020-06-05,,,,,,,,,,2020-06-30,,R5,2019-06-05,,,,N,275706,01,S,,2019-01-14,0,0,0,,,,H1,Y,S,,,,,E,,2019-08-13
275806,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",N,1,85,20-2,CT   ,50K,,MKC,ABS       ,,,PANAMA,275706,2 ,2018-12-19,2019-10-16,2020-03-09,,2020-05-08,2020-07-30,,,,,,,,,,2020-07-31,,R6,2019-06-05,,,,N,275706,02,S,,2019-01-14,0,0,0,,,,H1,Y,S,,,,,E,,2019-09-05
275906,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",N,3,122,20-3,CT   ,50K,,MKC,ABS       ,,,PANAMA,275706,3 ,2018-12-20,2019-11-26,2020-04-20,,2020-06-26,2020-09-24,,,,,,,,,,2020-10-31,,R2,2019-05-31,,,,N,275706,03,S,,2019-01-14,0,0,0,,,,H1,Y,P,,,,,W,,2019-11-26
276006,"50,000 DWT CLASS PRODUCT/CHEMICAL TANKER",N,2,111,20-4,CT   ,50K,,MKC,ABS       ,,,PANAMA,275706,4 ,2018-12-21,2020-01-13,2020-06-08,,2020-08-21,2020-11-26,,,,,,,,,,2020-12-31,,R3,2019-05-31,,,,N,275706,04,S,,2019-01-14,0,0,0,,,,H1,Y,S,,,,,E,,2020-02-07
276306,"50,000 DWT CLASS OIL/CHEMICAL TANKER",Y,2,110,20-3,CT   ,50K,1 ,SUN ENTERPRISES,LR        ,,,BAHAMAS,276306,1 ,2019-04-17,2019-11-01,2020-03-30,,2020-06-05,2020-08-24,,,,,,,,,,2020-08-31,,R1,2019-06-03,,,,N,276306,01,S,,2019-04-19,0,0,0,,,,H1,Y,S,,,,,W,,
276406,"50,000 DWT CLASS OIL/CHEMICAL TANKER",N,3,122,20-3,CT   ,50K,1 ,SUN ENTERPRISES,LR        ,,,BAHAMAS,276306,2 ,2019-04-17,2019-11-26,2020-04-20,,2020-06-26,2020-09-18,,,,,,,,,,2020-09-30,,R1,2019-05-31,,,,N,276306,02,S,,2019-04-19,0,0,0,,,,H1,Y,S,,,,,E,,2019-11-26
276506,"50,000 DWT CLASS OIL/CHEMICAL TANKER",N,1,86,20-3,CT   ,50K,1 ,SUN ENTERPRISES,LR        ,,,BAHAMAS,276306,3 ,,2020-01-03,2020-05-11,,2020-07-17,2020-10-26,,,,,,,,,,2020-10-31,,R0,2019-06-05,,,,N,,,S,,,0,0,0,,,,H1,O,P,,,,,W,,
400106,1800TEU CONTAINER,N,3,47,07-3,CONT ,1800TEU,1 ,OFFEN,GL        ,,,LIBERIA,400106,1 ,2005-01-13,2006-12-12,2007-03-22,,2007-05-29,2007-07-18,,0,0,2006-12-12,2007-03-19,2007-05-28,2007-07-06,0,0,2007-08-31,Y,R7,2007-03-24,Y,Y,Y,Y,400106,01,S,3,2005-04-27,290,1.7,20,2007-07-06,,N,H1,Y,,,,,,,,
400206,1800TEU CONTAINER,N,1,12,07-3,CONT ,1800TEU,2 ,OFFEN,GL        ,,,LIBERIA,400106,2 ,2005-01-13,2007-01-15,2007-04-20,,2007-06-27,2007-08-17,,0,0,2007-01-15,2007-04-16,2007-06-27,2007-08-09,0,0,2007-09-30,Y,R8,2007-03-26,Y,Y,Y,Y,400106,02,S,3,2005-04-21,290,1.7,20,2007-08-09,,N,H1,Y,,,,,,E,,
400306,1800TEU CONTAINER,N,2,32,07-6,CONT ,1800TEU,3 ,OFFEN,GL        ,,,LIBERIA,400106,3 ,2005-01-13,2007-02-16,2007-05-28,2007-07-06,2007-08-25,2007-10-12,,0,0,2007-02-16,2007-05-25,2007-08-25,2007-10-09,0,0,2007-11-30,Y,R7,2007-04-26,Y,Y,Y,Y,400106,03,T,3,2005-04-20,290,1.7,20,2007-10-09,,N,H1,Y,,,,,N,,,
400406,1800TEU CONTAINER,N,1,13,07-4,CONT ,1800TEU,4 ,OFFEN,GL        ,,,LIBERIA,400106,4 ,2005-01-13,2007-03-28,2007-06-25,,2007-09-07,2007-10-26,,0,0,2007-03-28,2007-06-25,2007-09-07,2007-10-19,0,0,2007-12-15,Y,R7,2007-06-05,Y,Y,Y,Y,400106,04,S,3,2005-04-21,290,1.7,20,2007-10-19,,N,H1,Y,,,,,,,,
400506,1800TEU CONTAINER,N,3,49,07-5,CONT ,1800TEU,5 ,OFFEN,GL        ,,,LIBERIA,400106,5 ,2005-01-13,2007-05-04,2007-08-13,,2007-10-24,2007-12-07,,0,0,2007-04-26,2007-08-13,2007-10-24,2007-12-07,0,0,2007-12-31,Y,RA,2007-06-08,Y,Y,Y,Y,400106,05,S,3,2005-04-21,300,1.875,20,2007-12-07,,N,H1,Y,,,,,N,,,
400606,1800TEU CONTAINER,N,3,49,07-5,CONT ,1800TEU,6 ,OFFEN,GL        ,,,LIBERIA,400106,6 ,2005-01-13,2007-05-04,2007-08-13,,2007-10-24,2007-12-11,,0,0,2007-04-26,2007-08-13,2007-10-24,2007-12-11,0,0,2008-01-31,Y,RA,2007-06-08,Y,Y,Y,Y,400106,06,S,3,2005-04-20,290,1.7,20,2007-12-11,,N,H1,Y,,,,,,,,
400706,1800TEU CONTAINER,N,1,14,07-5,CONT ,1800TEU,7 ,OFFEN,GL        ,,,LIBERIA,400106,7 ,2005-02-10,2007-06-07,2007-09-10,,2007-11-20,2008-01-04,,0,0,2007-05-25,2007-09-10,2007-11-20,2008-01-04,0,0,2008-02-28,Y,R9,2007-07-25,Y,Y,Y,Y,400106,07,S,3,2005-04-21,300,1.875,20,2008-01-04,,N,H1,Y,,,,,N,,,
400806,1800TEU CONTAINER,N,1,14,07-5,CONT ,1800TEU,8 ,OFFEN,GL        ,,,LIBERIA,400106,8 ,2005-02-10,2007-06-07,2007-09-10,,2007-11-20,2008-01-07,,0,0,2007-05-25,2007-09-10,2007-11-20,2008-01-07,0,0,2008-02-28,Y,R9,2007-07-25,Y,Y,Y,Y,400106,08,S,3,2005-04-21,300,1.875,20,2008-01-07,,N,H1,Y,,,,,N,,,
400906,1800TEU CONTAINER,N,3,50,08-1,CONT ,1800TEU,9 ,OFFEN,GL        ,,,LIBERIA,400106,9 ,2005-02-10,2007-06-27,2007-10-26,,2008-01-03,2008-02-15,,0,0,2007-06-27,2007-10-26,2008-01-03,2008-02-15,0,0,2008-03-31,Y,RB,2007-09-28,Y,Y,Y,Y,400106,09,S,3,2005-04-21,300,1.87,20,2008-02-15,,N,H1,Y,,,,,N,,,
401006,1800TEU CONTAINER,N,1,15,08-1,CONT ,1800TEU,10,OFFEN,GL        ,,,LIBERIA,400106,10,2005-02-10,2007-08-09,2007-11-22,,2008-01-29,2008-03-12,,0,0,2007-08-09,2007-11-22,2008-01-29,2008-03-12,0,0,2008-04-30,Y,RA,2007-09-28,Y,Y,Y,Y,400106,10,S,3,2005-04-20,300,1.875,20,2008-03-12,,N,H1,Y,,,,,N,,,
401106,1800TEU CONTAINER,N,1,15,08-1,CONT ,1800TEU,11,OFFEN,GL        ,,,LIBERIA,400106,11,2005-02-10,2007-08-09,2007-11-22,,2008-01-29,2008-03-17,,0,0,2007-08-09,2007-11-22,2008-01-29,2008-03-17,0,0,2008-05-15,Y,RA,2007-09-28,Y,Y,Y,Y,400106,11,S,3,2005-04-21,300,1.875,20,2008-03-17,,N,H1,Y,,,,,N,,,
401206,1800TEU CONTAINER,N,3,51,08-2,CONT ,1800TEU,12,OFFEN,GL        ,,,LIBERIA,400106,12,2005-02-10,2007-09-19,2008-01-05,,2008-03-11,2008-04-22,,0,0,2007-09-19,2008-01-04,2008-03-11,2008-04-22,0,0,2008-05-31,Y,RC,2007-12-26,Y,Y,Y,Y,400106,12,S,3,2005-04-21,300,1.875,20,2008-04-22,,N,H1,Y,,,,,N,,,
402106,3450TEU CONTAINER,N,4,33,07-5,CONT ,3450TEU,1 ,A.P.MOLLER,LR        ,,,LIBERIA,402106,1 ,2005-02-18,2007-06-13,2007-10-04,,2007-12-07,2008-01-22,,0,0,2007-06-13,2007-10-04,2007-12-07,2008-01-22,0,0,2008-01-31,Y,R5,2007-06-25,Y,Y,Y,Y,402106,01,S,3,2005-04-20,300,1.87,20,2008-01-22,,N,H1,Y,,,,,,,,
402206,3450TEU CONTAINER,N,4,34,08-1,CONT ,3450TEU,2 ,A.P.MOLLER,LR        ,,,LIBERIA,402106,2 ,2005-02-18,2007-08-23,2007-12-10,,2008-02-15,2008-03-31,,0,0,2007-08-23,2007-12-10,2008-02-15,2008-03-31,0,0,2008-03-31,Y,R7,2007-09-28,Y,Y,Y,Y,402106,02,S,3,2005-02-23,300,1.875,20,2008-03-31,,N,H1,Y,,,,,N,,,
402306,3450TEU CONTAINER,N,4,35,08-2,CONT ,3450TEU,3 ,A.P.MOLLER,LR        ,,,LIBERIA,402106,3 ,2005-02-18,2007-10-29,2008-02-18,,2008-04-21,2008-06-05,,0,0,2007-10-29,2008-02-18,2008-04-21,2008-06-05,0,0,2008-06-30,Y,R7,2007-12-05,Y,Y,Y,Y,402106,03,S,3,2005-04-20,300,1.875,20,2008-06-05,,N,H1,Y,,,,,,,,
402406,4300TEU CONTAINER,N,4,33,07-5,CONT ,4300TEU,1 ,NV,DNV       ,,,LIBERIA,402406,1 ,2005-02-21,2007-06-13,2007-10-04,,2007-12-07,2008-01-25,,0,0,2007-06-13,2007-10-04,2007-12-07,2008-01-25,0,0,2008-04-10,Y,R9,2007-06-25,Y,Y,Y,Y,402406,01,S,3,2005-02-25,300,1.87,20,2008-01-25,,N,H1,Y,,,,,N,,,
402506,4300TEU CONTAINER,N,4,36,08-3,CONT ,4300TEU,2 ,NV,DNV       ,,,LIBERIA,402406,2 ,2005-02-21,2008-01-04,2008-04-23,,2008-06-25,2008-08-19,,0,0,2008-01-04,2008-04-23,2008-06-24,2008-08-19,0,0,2008-08-31,Y,R7,2008-04-30,Y,Y,Y,Y,402406,02,S,3,2005-04-20,300,1.875,20,2008-08-19,,N,H1,Y,,,,,N,,,
402606,4300TEU CONTAINER,N,4,36,08-3,CONT ,4300TEU,3 ,NV,DNV       ,,,LIBERIA,402406,3 ,2005-02-21,2008-01-04,2008-04-23,,2008-06-25,2008-08-26,,0,0,2008-01-04,2008-04-23,2008-06-24,2008-08-25,0,0,2008-09-10,Y,R6,2008-04-30,Y,Y,Y,Y,402406,03,S,3,2005-04-20,300,1.875,20,2008-08-25,,N,H1,Y,,,,,N,,,
402706,4300TEU CONTAINER,N,4,37,08-4,CONT ,4300TEU,4 ,NV,DNV       ,,,LIBERIA,402406,4 ,2005-02-21,2008-03-12,2008-06-27,,2008-09-05,2008-10-21,,0,0,2008-03-12,2008-06-26,2008-09-05,2008-10-21,0,0,2008-11-30,Y,R6,2008-05-13,Y,Y,Y,Y,402406,04,S,3,2005-04-20,300,1.875,20,2008-10-21,,N,H1,Y,,,,,N,,,
402806,4300TEU CONTAINER,N,4,38,08-5,CONT ,4300TEU,5 ,NV,DNV       ,,,LIBERIA,402406,5 ,2005-02-21,2008-05-15,2008-09-08,,2008-11-13,2009-01-02,,,,2008-05-15,2008-09-08,2008-11-13,2009-01-02,,,2009-01-31,Y,R9,2008-06-27,Y,Y,Y,Y,402406,05,S,3,2005-04-20,300,1.875,20,2009-01-02,,N,H1,Y,,,,,N,,,
402906,2824TEU CONTAINER,N,2,40,08-5,CONT ,2824TEU,2 ,CIDO,KR        ,,,HONG KONG,048306,2 ,2005-02-18,2008-01-14,2008-05-02,2008-06-10,2008-07-19,2008-09-04,,0,0,2008-01-14,2008-04-30,2008-07-18,2008-09-04,0,0,2008-09-30,Y,R6,2008-04-30,Y,Y,Y,Y,048306,02,T,2,2005-04-21,300,1.875,20,2008-09-04,,N,H1,Y,,,,,N,,,
403006,2824TEU CONTAINER,N,2,41,08-6,CONT ,2824TEU,3 ,CIDO,KR        ,,,HONG KONG,048306,3 ,2005-02-18,2008-02-22,2008-06-12,2008-07-19,2008-09-01,2008-10-14,,,,2008-02-22,2008-06-12,2008-09-01,2008-10-14,,,2008-11-30,Y,R7,2008-06-27,Y,Y,Y,Y,048306,03,T,2,2005-04-21,300,1.875,20,2008-10-14,,N,H1,Y,,,,,N,,,
403206,4300TEU CONTAINER,N,4,35,08-2,CONT ,4300TEU,4 ,E.R.SCHIFFAHRT,DNV       ,,,LIBERIA,040806,4 ,2005-03-03,2007-10-29,2008-02-18,,2008-04-21,2008-06-09,,,,2007-10-29,2008-02-18,2008-04-21,2008-06-09,,,2008-06-30,Y,RA,2008-01-28,Y,Y,Y,Y,040806,04,S,3,2005-04-20,300,1.875,20,2008-06-09,,N,H1,Y,,,,,,,,
403306,4300TEU CONTAINER,N,4,37,08-4,CONT ,4300TEU,5 ,E.R.SCHIFFAHRT,DNV       ,,,LIBERIA,040806,5 ,2005-03-03,2008-03-12,2008-06-27,,2008-09-05,2008-10-20,,,,2008-03-12,2008-06-26,2008-09-05,2008-10-24,,,2008-10-31,Y,RD,2008-06-27,Y,Y,Y,Y,040806,05,S,3,2005-04-20,300,1.875,20,2008-10-24,,N,H1,Y,,,,,N,,,
404206,2000TEU CONTAINER,N,3,58,09-3,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,1 ,2007-08-10,2009-01-05,2009-04-17,,2009-06-16,2010-03-05,,0,0,2009-01-05,2009-04-17,2009-06-16,2010-03-11,0,0,2009-09-30,Y,RA,2009-03-31,Y,Y,Y,Y,404206,01,S,7,2007-09-07,300,2,20,2010-03-12,,Y,H1,Y,,,,,N,,,
404306,2000TEU CONTAINER,N,1,24,09-5,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,2 ,2007-08-10,2009-02-26,2009-08-11,,2009-10-16,2010-03-05,,0,0,2009-02-26,2009-08-11,2009-10-16,2010-03-12,0,0,2009-11-30,Y,RA,2009-08-28,Y,Y,Y,Y,404206,02,S,,2007-09-07,300,2,20,2010-03-13,,Y,H1,Y,,,,,N,,,
404406,2000TEU CONTAINER,N,3,99,,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,3 ,2007-08-10,2020-01-01,2020-02-01,,2020-03-01,2020-04-01,,0,0,,,,,0,0,2010-01-31,Y,R1,2008-12-12,Y,Y,Y,N,404206,03,S,,2007-09-07,290,1.75,20,,,N,H1,C,,,,,,,,
404506,2000TEU CONTAINER,N,3,99,,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,4 ,2007-08-09,2020-01-01,2020-02-01,,2020-03-01,2020-04-01,,0,0,,,,,0,0,2010-04-30,Y,R2,2008-09-30,Y,Y,Y,N,404206,04,S,,2007-09-07,290,1.75,20,,,N,H1,C,,,,,N,,,
404606,2000TEU CONTAINER,N,3,99,,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,5 ,2007-08-10,2020-01-01,2020-02-01,,2020-03-01,2020-04-01,,0,0,,,,,0,0,2010-06-30,Y,R2,2008-09-20,Y,Y,Y,N,404206,05,S,,2007-09-07,290,1.75,20,,,N,H1,C,,,,,N,,,
404706,2000TEU CONTAINER,N,3,99,,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,6 ,2007-08-10,2020-01-01,2020-02-01,,2020-03-01,2020-04-01,,0,0,,,,,0,0,2010-08-31,Y,R2,2008-09-20,Y,Y,Y,N,404206,06,S,,2007-09-07,290,1.75,20,,,N,H1,C,,,,,N,,,
404806,2000TEU CONTAINER,N,3,99,,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,7 ,2007-08-10,2020-01-01,2020-02-01,,2020-03-01,2020-04-01,,0,0,,,,,0,0,2010-11-30,Y,R0,2008-09-30,Y,Y,Y,N,404206,07,S,,2007-09-07,290,1.75,20,,,N,H1,C,,,,,N,,,
404906,2000TEU CONTAINER,N,3,99,,CONT ,2000TEU,01,HARTMANN,GL        ,,,LIBERIA,404206,8 ,2007-08-10,2020-01-01,2020-02-01,,2020-03-01,2020-04-01,,0,0,,,,,0,0,2010-12-31,Y,,,Y,Y,Y,N,404206,08,S,,2007-09-07,290,1.75,20,,,N,H1,C,,,,,,,,
405006,1100TEU CONTAINER,N,2,55,11-1,CONT ,1100TEU,01,ADNOC,LR        ,,,UNITED ARAB EMIRATES,405006,1 ,2009-09-30,2010-08-26,2010-12-01,,2011-01-21,2011-03-16,,0,0,2010-08-26,2010-12-01,2011-01-21,2011-03-22,0,0,2011-03-31,Y,RD,2010-12-01,Y,Y,Y,Y,405006,01,S,7,2009-09-30,300,2,20,2011-03-23,,Y,H1,Y,,,,,,,,
405106,1100TEU CONTAINER,N,2,56,11-2,CONT ,1100TEU,01,ADNOC,LR        ,,,UNITED ARAB EMIRATES,405006,2 ,2009-09-30,2010-09-16,2011-01-24,,2011-03-16,2011-05-13,,0,0,2010-09-16,2011-01-24,2011-03-16,2011-05-16,0,0,2011-05-31,Y,RF,2011-04-06,Y,Y,Y,Y,405006,02,S,7,2009-09-30,300,2,20,2011-05-18,,Y,H1,Y,,,,,,,,
405206,1000TEU CONTAINER,Y,1,37,12-1,CONT ,1000TEU,01,CK LINE(천경해운),KR        ,,,PANAMA,405206,1 ,2010-06-10,2011-07-28,2011-11-25,,2012-01-20,2012-03-19,,0,0,2011-07-28,2011-11-25,2012-01-20,2012-03-19,0,0,2012-03-31,Y,R8,2011-12-30,Y,Y,Y,Y,405206,01,S,7,2010-06-28,300,2,20,2012-03-20,,Y,H1,Y,,,,,,,,
405306,1000TEU CONTAINER,N,3,74,12-1,CONT ,1000TEU,01,CK LINE(천경해운),KR        ,,,PANAMA,405206,2 ,2010-06-10,2011-08-09,2011-12-09,,2012-02-09,2012-04-09,,0,0,2011-08-09,2011-12-09,2012-02-09,2012-04-09,0,0,2012-05-31,Y,RB,2011-12-30,Y,Y,Y,Y,405206,02,S,7,2010-06-28,300,2,20,2012-04-09,,N,H1,Y,,,,,,,,
405406,2824TEU CONTAINER,Y,1,41,12-5,CONT ,2824TEU,01,PIL,BV        ,,,SINGAPORE,405406,1 ,2010-12-13,2012-03-15,2012-07-07,,2012-09-05,2012-11-12,,0,0,2012-03-15,2012-07-06,2012-09-05,2012-11-12,0,0,2012-12-31,Y,RE,2012-07-25,Y,Y,Y,Y,405406,01,S,7,2010-12-22,300,2,20,2012-11-13,,Y,H1,Y,,,,,,W,,
405506,2824TEU CONTAINER,N,2,68,13-1,CONT ,2824TEU,01,PIL,BV        ,,,SINGAPORE,405406,2 ,2010-12-13,2012-07-11,2012-11-26,,2013-01-23,2013-03-27,,0,0,2012-07-11,2012-11-26,2013-01-23,2013-03-27,0,0,2013-04-30,Y,RD,2012-12-26,Y,Y,Y,Y,405406,02,S,7,2010-12-22,300,2,20,,,N,H1,Y,,,,,N,E,,
405606,2824TEU CONTAINER,N,2,69,13-2,CONT ,2824TEU,01,PIL,BV        ,,,SINGAPORE,405406,3 ,2011-02-15,2012-07-18,2012-11-26,2013-01-23,2013-03-12,2013-05-20,,0,0,2012-07-18,2012-11-26,2013-03-12,2013-05-16,0,0,2013-06-30,Y,RE,2013-03-05,Y,Y,Y,Y,405406,03,T,7,2011-02-15,300,2,20,2013-05-16,,N,H1,Y,,,,,,E,E,
405706,2824TEU CONTAINER,N,2,69,13-2,CONT ,2824TEU,01,PIL,BV        ,,,SINGAPORE,405406,4 ,2011-02-15,2012-07-18,2012-11-26,2013-01-23,2013-03-12,2013-06-10,,0,0,2012-07-18,2012-11-26,2013-03-12,2013-06-10,0,0,2013-07-31,Y,RE,2013-03-05,Y,Y,Y,Y,405406,04,T,7,2011-02-15,300,2,20,,,N,H1,Y,,,,,,W,W,
406206,2824TEU CONTAINER,Y,2,67,12-7,CONT ,2824TEU,01,KMTC LINE,KR        ,,,PANAMA,406206,1 ,2011-02-08,2012-05-23,2012-09-27,,2012-11-23,2013-02-28,,0,0,2012-05-23,2012-09-27,2012-11-23,2013-02-28,0,0,2013-02-28,Y,RA,2012-11-27,Y,Y,Y,Y,406206,01,S,7,2011-02-18,300,2,20,2013-03-04,,N,H1,Y,,,,,,E,,
406306,2824TEU CONTAINER,N,2,68,13-1,CONT ,2824TEU,01,KMTC LINE,KR        ,,,PANAMA,406206,2 ,2011-02-08,2012-07-11,2012-11-26,,2013-01-23,2013-04-15,,0,0,2012-07-11,2012-11-26,2013-01-23,2013-05-31,0,0,2013-05-31,Y,RC,2012-12-26,Y,Y,Y,Y,406206,02,S,7,2011-02-18,300,2,20,2013-05-31,,N,H1,Y,,,,,N,W,,
407006,1000TEU CONTAINER,Y,1,40,12-4,CONT ,1000TEU,01,PAN CONTI.,KR        ,,,KOREA,407006,1 ,2011-05-31,2012-01-13,2012-05-13,,2012-07-05,2012-09-06,,0,0,2012-01-13,2012-05-13,2012-07-05,2012-09-06,0,0,2012-09-30,Y,R7,2012-07-25,Y,Y,Y,Y,407006,01,S,7,2011-06-03,300,2,20,2012-09-08,,N,H1,Y,,,,,,,,
407106,1000TEU CONTAINER,N,1,41,12-5,CONT ,1000TEU,01,PAN CONTI.,KR        ,,,KOREA,407006,2 ,2011-05-31,2012-03-15,2012-07-07,,2012-09-05,2012-11-07,,0,0,2012-03-15,2012-07-06,2012-09-05,2012-11-01,0,0,2012-11-30,Y,R9,2012-07-25,Y,Y,Y,Y,407006,02,S,7,2011-06-03,300,2,20,2012-11-02,,N,H1,Y,,,,,,W,,
407206,1850TEU CONTAINER,Y,2,66,12-6,CONT ,1850TEU,01,NAMSUNG,KR        ,,,MARSHALL ISLAND,407206,1 ,2011-12-22,2012-05-16,2012-08-10,,2012-09-25,2013-02-22,,0,0,2012-05-16,2012-08-10,2012-09-25,2013-02-22,0,0,2013-01-31,Y,R7,2012-08-28,Y,Y,Y,Y,407206,01,S,7,2011-09-01,300,2,20,2013-03-05,,N,H1,Y,,,,,N,W,,
407306,1850TEU CONTAINER,N,1,42,12-6,CONT ,1850TEU,01,NAMSUNG,KR        ,,,MARSHALL ISLAND,407206,2 ,2011-12-22,2012-05-16,2012-09-07,,2012-11-03,2013-02-28,,0,0,2012-05-16,2012-09-06,2012-11-03,2013-02-28,0,0,2013-02-28,Y,R7,2013-01-15,Y,Y,Y,Y,407206,02,S,7,2011-09-01,300,2,20,2013-03-01,,N,H1,Y,,,,,N,E,,
407406,1850TEU CONTAINER,N,3,80,13-1,CONT ,1850TEU,01,NAMSUNG,KR        ,,,MARSHALL ISLAND,407206,3 ,2011-12-22,2012-05-16,2012-09-18,2012-11-13,2013-01-14,2013-03-07,,0,0,2012-05-16,2012-09-18,2013-01-14,2013-03-08,0,0,2013-05-31,Y,R8,2012-11-27,Y,Y,Y,Y,407206,03,T,7,2011-09-01,300,2,20,2013-03-08,,N,H1,Y,,,,,,,,
