호선,호선명,GINR,DOCK,BATCH,년BATCH,선종,선형,연번,선주,선급1,선급2,선급3,국적,시리즈 대표호선,시리즈번호,계약일자,W/C일자,K/L일자,F/T일자,L/C일자,D/L일자,도면완료일,제작블럭수,탑재블럭수,W/C실적일자,K/L실적일자,L/C실적일자,D/L실적일자,선주도면승인기간,선급도면승인기간,계약인도일,대일정계획시 주요공정체크,탑재네트워크확정REVNO,탑재네트워크확정일자,일정재생성가부,공수재생성가부,중일정공수조정가부,D/L여부,설계대표호선,설계 시리즈 번호,건조 방식(T:Tandem S:straight),"FWD일정 생성시 신종선 연속선에 따라 POR발행계획일이 MP 생성일 기준 2주, 3주(2:2주 3:3주)",mp생성일(호선의 mp등록일 중 가장 빠른 날짜을 넣어줌[2005/12/20추가됨]),,,,출항 예정일,Load Out 일자 (육상건조),,"호선 건조구분(H: HMD, V: HVS, 1:신조, 2:개조, 3:수리, 4:기술수출)","계약정보(Y:계약, N:미계약,C:취소,D:보류,O:옵션)",E/R ACCESS HOLE FT전 위치,E/R ACCESS HOLE FT후 위치,조기K/L,조기 K/L BLOCK,"HVS자재대수수료(0:1.07, 1:1)",FT전 도크내호선위치(E/W)-STRAIGHT는 여기만 값 유지,FT후 도크내호선위치(E/W),가상W/C
003506,LAUSANNE,N,4,8,02-4,CONT ,2824TEU,2 ,SUISSE-ATLANTIQUE,GL        ,,,LIBERIA,003406,2 ,2000-06-26,2002-03-26,2002-07-19,,2002-10-19,2003-01-08,,0,0,2002-03-26,2002-07-19,2002-10-19,2003-01-08,0,0,2003-01-02,Y,R9,2002-07-04,Y,Y,Y,Y,003406,,S,2,,290,1.75,20,2003-01-10,,N,H1,Y,,,,,,,,
003606,CIMBRIA,N,4,7,02-3,CONT ,2824TEU,1 ,AHRENKIEL,GL        ,,,LIBERIA,003406,1 ,2000-10-27,2001-12-18,2002-04-22,,2002-07-17,2002-10-08,,0,0,2001-12-18,2002-04-22,2002-07-17,2002-10-08,0,0,2002-09-30,Y,R8,2002-04-15,Y,Y,Y,Y,003406,,S,2,,290,1.75,20,2002-10-09,,N,H1,Y,,,,,,,,
003706,CARINTHIA,N,4,9,03-1,CONT ,2824TEU,2 ,AHRENKIEL,GL        ,,,LIBERIA,003406,2 ,2000-10-27,2002-03-24,2002-10-21,,2003-01-11,2003-04-02,,0,0,2002-03-26,2002-06-17,2003-01-12,2003-04-02,0,0,2003-04-02,Y,R7,2002-09-14,Y,Y,Y,Y,003406,,S,2,,290,1.75,20,2003-04-03,,N,H1,Y,,,,,N,,,
004506,BARON,N,4,4,01-3,CL   ,12.6K,2 ,DOCKWISE N.V,DNV       ,,,NETHERLANDS,000306,2 ,2000-08-14,2001-03-02,2001-07-09,,2001-10-09,2002-01-14,,0,0,2001-03-02,2001-07-09,2001-10-20,2002-05-02,0,0,2002-01-14,Y,R8,2001-09-12,Y,Y,Y,Y,000306,,S,2,,290,1.75,20,2002-05-11,,N,H1,Y,,,,,,,,
004606,NICOS TOMASOS,N,3,19,02-3,CT   ,37K,2 ,TOMASOS,DNV       ,,,LIBERIA,005006,2 ,2000-09-08,2002-03-05,2002-06-14,,2002-09-16,2003-01-03,,0,0,2002-03-05,2002-06-14,2002-09-16,2003-01-03,0,0,2002-11-30,Y,R5,2002-02-18,Y,Y,Y,Y,005006,,S,2,,290,1.75,20,2003-01-03,,N,H1,Y,,,,,N,,,
004706,ROSA TONASOS,N,3,20,02-4,CT   ,37K,3 ,TOMASOS,DNV       ,,,LIBERIA,005006,3 ,2000-09-08,2002-06-09,2002-09-18,,2002-12-14,2003-03-05,,0,0,2002-06-04,2002-09-18,2002-12-13,2003-03-05,0,0,2003-03-31,Y,R7,2002-09-09,Y,Y,Y,Y,005006,,S,2,,290,1.75,20,2003-03-05,,N,H1,Y,,,,,,,,
004806,45K CHEMICAL TANKER,N,3,20,02-4,CT   ,45K,1 ,BAKRI,DNV       ,,,PANAMA,004806,1 ,2000-10-14,2002-05-07,2002-09-18,,2002-12-14,2003-03-31,,0,0,2002-05-02,2002-06-14,2002-12-13,2003-03-31,0,0,2003-03-31,Y,R7,2002-09-09,Y,Y,Y,Y,004806,,S,2,,290,1.75,20,2003-04-01,,N,H1,Y,,,,,N,,,
004906,QURTTUBA,N,4,10,03-2,CT   ,46K,2 ,BAKRI,DNV       ,,,PANAMA,004806,2 ,2000-10-14,2002-05-02,2003-01-13,,2003-04-02,2003-06-16,,0,0,2002-05-02,2002-06-15,2003-04-02,2003-06-16,0,0,2003-06-30,Y,RA,2003-04-04,Y,Y,Y,Y,004806,,S,2,,290,1.75,20,2003-06-17,,N,H1,Y,,,,,N,,,
005006,EMMANUEL TOMASOS,N,4,7,02-3,CT   ,37K,1 ,TOMASOS,DNV       ,,,PANAMA,005006,1 ,2000-09-09,2001-12-18,2002-04-22,,2002-07-17,2002-10-30,,0,0,2001-12-18,2002-04-22,2002-07-17,2002-10-30,0,0,2002-09-30,Y,R9,2002-04-15,Y,Y,Y,Y,005006,,S,2,,290,1.75,20,2002-10-30,,N,H1,Y,,,,,N,,,
005306,NOMAD,N,2,4,03-1,CT   ,46K,1 ,ADMANTHOS,ABS       ,,,BRITISH VIRGIN ISLANDS,005306,1 ,2000-11-10,2002-07-24,2002-11-04,,2003-02-03,2003-04-01,,0,0,2002-07-24,2002-11-04,2003-02-03,2003-04-01,0,0,2003-03-31,Y,R8,2002-12-02,Y,Y,Y,Y,005306,,S,2,,290,1.75,20,2003-04-05,,N,H1,Y,,,,,,,,
