사업장,창고,트레이,시리얼 번호,자재 코드,품  명  및   사   양,표준 단중,적정 재고,발주처 코드,발주처명,담당자,연락처,단가
M,2,C1-1,AEW0001C01C001,355C1TD1014,"MALE CONNECTOR SUS316L MALE/BITE PT1/4""*O/D6Φ",0.04,380,,,,,2020.0
M,2,C1-2,AEW0001C01C002,355C1TD2018,"MALE CONNECTOR SUS316L MALE/BITE PT1/8""*O/D8Φ",0.03,360,,,,,2060.0
M,2,C1-3,AEW0001C01C003,355C1TD2038,"MALE CONNECTOR SUS316L MALE/BITE PT3/8""*O/D8Φ",0.05,190,,,,,2370.0
M,2,C1-4,AEW0001C01C004,355C1F15012,"MALE CONNECTOR SUS316L MALE/BITE PF1/2""*15A",0.21,60,,,,,6170.0
M,2,C1-5,AEW0001C01C005,355C1TD4038,"MALE CONNECTOR SUS316L MALE/BITE PT3/8""*O/D12Φ",0.07,180,,,,,2850.0
M,2,C1-6,AEW0001C01C006,355C1FDE012,"MALE CONNECTOR SUS316L MALE/BITE PF1/2""*O/D6Φ",0.16,80,,,,,3960.0
M,2,C1-8,AEW0001C01C007,355C1FDF012,"MALE CONNECTOR SUS316L MALE/BITE PF1/2""*O/D8Φ",0.14,80,,,,,4770.0
M,2,C1-9,AEW0001C01C008,357F1E00D12,UNION TEE SUS316 BITE TYPE O/D12Φ,0.17,60,,,,,6940.0
M,2,C2-1,AEW0001C02C001,355C1TD4014,"MALE CONNECTOR SUS316L MALE/BITE PT1/4""*O/D12Φ",0.06,190,,,,,2780.0
M,2,C2-10,AEW0001C02C009,35492000D10,UNION SUS316L BITE TYPE O/D10Φ,0.07,570,,,,,2800.0
M,2,C2-11,AEW0001C02C010,35492000D08,UNION SUS316L BITE TYPE O/D8Φ,0.06,600,,,,,2650.0
M,2,C2-12,AEW0001C02C011,35442000D10,UNION BRASS BITE TYPE O/D10Φ,0.08,570,,,,,1320.0
M,2,C2-2,AEW0001C02C002,355C1TD2014,"MALE CONNECTOR SUS316L MALE/BITE PT1/4""*O/D8Φ",0.06,220,,,,,2050.0
M,2,C2-3,AEW0001C02C003,355C1TD1038,"MALE CONNECTOR SUS316L MALE/BITE PT3/8""*O/D6Φ",0.06,260,,,,,2190.0
M,2,C2-4,AEW0001C02C004,357F1E00D10,UNION TEE SUS316 BITE TYPE O/D10Φ,0.13,70,,,,,6200.0
M,2,C2-5,AEW0001C02C005,355C1T20034,"MALE CONNECTOR SUS316L MALE/BITE PT3/4""*20A",0.38,20,,,,,9100.0
M,2,C2-6,AEW0001C02C006,355C1TD3014,"MALE CONNECTOR SUS316L MALE/BITE PT1/4""*O/D10Φ",0.05,240,,,,,2310.0
M,2,C2-7,AEW0001A01C015,355C1TD3012,"MALE CONNECTOR SUS316L MALE/BITE PT1/2""*O/D10Φ",0.09,150,,,,,2900.0
M,2,C2-8,AEW0001C02C007,35492000D10,UNION SUS316L BITE TYPE O/D10Φ,0.07,570,,,,,2800.0
M,2,C2-9,AEW0001C02C008,35492000D08,UNION SUS316L BITE TYPE O/D8Φ,0.06,630,,,,,2650.0
M,2,C3-1,AEW0001C03C001,351F1ZAED12,ADJUSTABLE ELBOW 90˚ SUS316 BITE TYPE O/D12Φ,0.08,300,,,,,4890.0
M,2,C3-2,AEW0001C03C002,351F1J00D12,UNION ELBOW 90˚ SUS316 BITE TYPE O/D12Φ,0.13,300,,,,,5980.0
M,2,C3-3,AEW0001C03C003,351F1J00010,UNION ELBOW 90˚ SUS316 BITE TYPE 10A*,0.33,50,,,,,9890.0
M,2,C3-4,AEW0001C03C004,357F1E00D12,UNION TEE SUS316 BITE TYPE O/D12Φ,0.15,60,,,,,6940.0
M,2,C3-5,AEW0001C03C005,357F1E00D16,TEE SUS316 BITE UNION TYPE 16Φ*16Φ*16Φ,0.37,60,,,,,8600.0
M,2,C3-6,AEW0001C03C006,357F1E00D18,TEE SUS316 BITE UNION TYPE 18Φ*18Φ*18Φ,0.42,30,,,,,13870.0
M,2,C3-7,AEW0001A01C016,35492000D18,UNION SUS316L BITE TYPE O/D18Φ,0.2,80,,,,,7200.0
M,2,C3-8,AEW0001C03C007,35492000D06,UNION SUS316L BITE TYPE O/D6Φ,0.05,500,,,,,2480.0
M,2,C3-9,AEW0001C03C008,35492000D12,UNION SUS316L BITE TYPE O/D12Φ,0.09,180,,,,,3620.0
M,2,C4-1,AEW0001C04C001,3594100F014,"BOSS SUS316L THREAD A-TYPE FOR WALL PF1/4""",0.07,190,,,,,2350.0
M,2,C4-2,AEW0001C04C002,3594100F038,"BOSS SUS316L THREAD A-TYPE FOR WALL PF3/8""",0.08,150,,,,,1740.0
M,2,C4-3,AEW0001C04C003,3594100F012,"BOSS SUS316L THREAD A-TYPE FOR WALL PF1/2""",0.09,80,,,,,2600.0
M,2,C4-4,AEW0001C04C004,3594100F034,"BOSS SUS316L THREAD A-TYPE FOR WALL PF3/4""",0.22,60,,,,,4750.0
M,2,C4-5,AEW0001C04C005,3594100F011,"BOSS SUS316L THREAD A-TYPE FOR WALL PF1""",0.29,45,,,,,3420.0
M,2,C4-6,AEW0001C04C006,35484000D08,UNION SUS316 BITE BULKHEAD ATTACHED WELDING TYPE O/D8MM,0.1,100,,,,,8340.0
M,2,C4-7,AEW0001A01C017,35484000D08,UNION SUS316 BITE BULKHEAD ATTACHED WELDING TYPE O/D8MM,0.1,100,,,,,8340.0
M,2,C4-8,AEW0001C04C007,35484000D10,UNION SUS316 BITE BULKHEAD ATTACHED WELDING TYPE O/D10MM,0.14,100,,,,,4740.0
M,2,C4-9,AEW0001C04C008,35484000D12,UNION SUS316 BITE BULKHEAD ATTACHED WELDING TYPE O/D12MM,0.15,100,,,,,5590.0
